ngram,inf_count,mis_count,total_app,mis_freq
number of,41,130,171,0.760233918128655
all the,38,120,158,0.759493670886076
read more,205,646,851,0.759106933019976
and the,165,519,684,0.758771929824562
home news,49,153,202,0.757425742574258
the best,54,167,221,0.755656108597285
after the,46,142,188,0.75531914893617
click to,61,186,247,0.753036437246964
the same,54,164,218,0.752293577981651
in the,904,2721,3625,0.750620689655172
to post,33,99,132,0.75
of a,258,773,1031,0.749757516973812
on the,401,1185,1586,0.747162673392182
on a,87,257,344,0.747093023255814
bernie sanders,35,103,138,0.746376811594203
is an,47,138,185,0.745945945945946
from the,236,691,927,0.745415318230852
i have,40,117,157,0.745222929936306
reply to,46,134,180,0.744444444444445
months ago,65,189,254,0.744094488188976
year old,38,110,148,0.743243243243243
what is,53,153,206,0.742718446601942
to to,51,146,197,0.741116751269036
sign up,87,249,336,0.741071428571429
and a,63,180,243,0.740740740740741
need to,39,111,150,0.74
in new,76,216,292,0.73972602739726
born in,37,105,142,0.73943661971831
you can,91,258,349,0.739255014326648
would be,42,119,161,0.739130434782609
and i,35,99,134,0.738805970149254
to go,43,121,164,0.737804878048781
facebook twitter,67,188,255,0.737254901960784
search query,36,101,137,0.737226277372263
forum posts,51,143,194,0.737113402061856
a man,60,168,228,0.736842105263158
to the,415,1162,1577,0.736842105263158
has a,36,100,136,0.735294117647059
you are,71,197,268,0.735074626865672
view profile,53,147,200,0.735
was a,97,269,366,0.734972677595629
profile view,52,144,196,0.73469387755102
view forum,55,152,207,0.734299516908213
the day,38,105,143,0.734265734265734
he was,77,212,289,0.733564013840831
was the,61,167,228,0.732456140350877
this page,41,112,153,0.73202614379085
w bush,82,224,306,0.73202614379085
social security,51,139,190,0.731578947368421
years ago,77,209,286,0.730769230769231
high school,67,181,248,0.729838709677419
to get,52,140,192,0.729166666666667
fox news,78,209,287,0.72822299651568
of the,1478,3942,5420,0.727306273062731
join date,110,292,402,0.72636815920398
if you,104,276,380,0.726315789473684
web search,40,106,146,0.726027397260274
due to,46,121,167,0.724550898203593
posted by,105,276,381,0.724409448818898
part of,39,102,141,0.723404255319149
in this,37,96,133,0.721804511278195
to share,49,126,175,0.72
posted on,77,197,274,0.718978102189781
i am,73,186,259,0.718146718146718
around the,45,113,158,0.715189873417722
a comment,57,143,200,0.715
for the,279,697,976,0.714139344262295
opens in,47,117,164,0.713414634146341
this thread,47,115,162,0.709876543209877
i was,52,127,179,0.709497206703911
in to,55,133,188,0.707446808510638
to a,141,338,479,0.705636743215031
new window,48,115,163,0.705521472392638
with a,140,330,470,0.702127659574468
during the,58,136,194,0.701030927835052
at the,217,507,724,0.700276243093923
the us,165,383,548,0.698905109489051
to this,81,188,269,0.698884758364312
by a,100,232,332,0.698795180722892
wikipedia the,41,94,135,0.696296296296296
photograph shows,84,191,275,0.694545454545455
a woman,57,129,186,0.693548387096774
leave a,46,104,150,0.693333333333333
i m,47,105,152,0.690789473684211
for a,177,393,570,0.689473684210526
skip to,118,262,380,0.689473684210526
switch to,51,112,163,0.687116564417178
can be,53,115,168,0.68452380952381
the national,43,93,136,0.683823529411765
the free,42,89,131,0.679389312977099
this post,59,125,184,0.679347826086957
there are,70,148,218,0.678899082568807
he is,48,100,148,0.675675675675676
have a,58,119,177,0.672316384180791
george w,105,213,318,0.669811320754717
a few,51,103,154,0.668831168831169
you know,59,119,178,0.668539325842697
no longer,49,98,147,0.666666666666667
post reply,48,96,144,0.666666666666667
los angeles,59,108,167,0.646706586826347
liked this,74,134,208,0.644230769230769
share this,56,100,156,0.641025641025641
of his,66,117,183,0.639344262295082
more than,72,126,198,0.636363636363636
to content,80,140,220,0.636363636363636
new york,253,392,645,0.607751937984496
do not,73,109,182,0.598901098901099
jump to,75,107,182,0.587912087912088
search for,88,121,209,0.578947368421053
in an,72,97,169,0.57396449704142
find submissions,149,126,275,0.458181818181818
those who,79,65,144,0.451388888888889
trade center,95,77,172,0.447674418604651
photographs show,77,62,139,0.446043165467626
world trade,104,79,183,0.431693989071038
john mccain,86,61,147,0.414965986394558
breast cancer,160,59,219,0.269406392694064
