ngram,inf_count,mis_count,total_app,mis_freq
00 bee,0,35,35,1
00 wort,0,43,43,1
06 point,0,39,39,1
1 exclusiv,0,36,36,1
6 girl,0,42,42,1
66 year,0,37,37,1
70 ma,0,40,40,1
abelle arreste,0,67,67,1
abriel iglesia,0,41,41,1
acebook wil,0,43,43,1
ack acros,0,35,35,1
ack wher,0,34,34,1
addy longleg,0,36,36,1
aden smit,0,90,90,1
adies forbidde,0,38,38,1
adies roo,0,37,37,1
agle scou,0,45,45,1
ail gu,0,43,43,1
aily curran,0,273,273,1
aily repor,0,85,85,1
air extension,0,45,45,1
air weav,0,37,37,1
ake unauthorize,0,34,34,1
aking sod,0,41,41,1
akota bac,0,40,40,1
aldness immediatel,0,39,39,1
aleel whit,0,49,49,1
alico cat,0,33,33,1
alifornia departmen,0,33,33,1
alin claime,0,74,74,1
alin thanksgivin,0,36,36,1
all cente,0,33,33,1
alse example,0,146,146,1
alse repor,0,46,46,1
amera flyin,0,46,46,1
amie dorna,0,34,34,1
an ow,0,42,42,1
an relat,0,52,52,1
andfill afte,0,42,42,1
anels drai,0,41,41,1
ang lis,0,45,45,1
ang membe,0,51,51,1
ang rall,0,45,45,1
anny dye,0,56,56,1
anola oi,0,42,42,1
ar salesma,0,33,33,1
arijuana i,0,34,34,1
arkest bab,0,43,43,1
arl jone,0,55,55,1
arley davidso,0,41,41,1
arming activis,0,66,66,1
arrie underwoo,0,47,47,1
artin lawrenc,0,47,47,1
aryland middl,0,42,42,1
as circulate,0,41,41,1
asa find,0,40,40,1
asked marauder,0,38,38,1
ast mea,0,78,78,1
at hi,0,35,35,1
atican counci,0,91,91,1
ating lovemakin,0,33,33,1
ational repor,0,268,268,1
ationwide musli,0,68,68,1
atirical piec,0,40,40,1
atirical websit,0,96,96,1
atti labell,0,108,108,1
attle guard,0,37,37,1
atural bor,0,37,37,1
aught stealin,0,39,39,1
aul horne,0,36,36,1
auryn hil,0,36,36,1
ause genita,0,43,43,1
avern abuttin,0,36,36,1
avidson dealershi,0,34,34,1
avorite thing,0,66,66,1
aw fis,0,45,45,1
awn par,0,33,33,1
ay rais,0,33,33,1
aying merr,0,40,40,1
ayne knigh,0,61,61,1
azy fool,0,52,52,1
bi rai,0,35,35,1
bilities ac,0,99,99,1
bola vaccin,0,34,34,1
butting aeoli,0,36,36,1
ccidentally vote,0,42,42,1
cdonalds i,0,33,33,1
chool canteen,0,40,40,1
chool require,0,48,48,1
cout certificate,0,37,37,1
ctivation infowar,0,114,114,1
ctober comment,0,60,60,1
ctor sylveste,0,46,46,1
d mcmaho,0,33,33,1
dministration propose,0,38,38,1
dvocates o,0,33,33,1
e delaye,0,39,39,1
e merr,0,38,38,1
e spanke,0,36,36,1
ead mermai,0,37,37,1
eaders wh,0,39,39,1
eal american,0,69,69,1
eal birt,0,36,36,1
eal skill,0,36,36,1
ear watso,0,46,46,1
eartless felon,0,34,34,1
eather a,0,43,43,1
ebt relie,0,35,35,1
econd seaso,0,38,38,1
econd slic,0,94,94,1
ecovering america,0,34,34,1
ecret o,0,35,35,1
ed bund,0,35,35,1
ed lobste,0,53,53,1
eddah saud,0,33,33,1
ee res,0,38,38,1
eek mil,0,46,46,1
eels tha,0,33,33,1
eff gordo,0,79,79,1
efused secon,0,43,43,1
egal drinkin,0,63,63,1
egging yo,0,37,37,1
egistered motorcycl,0,45,45,1
eing haile,0,33,33,1
elayed unti,0,34,34,1
eleased 1,0,34,34,1
elebrity deat,0,85,85,1
eligions ar,0,61,61,1
elium infuse,0,35,35,1
elling golde,0,46,46,1
emale docto,0,61,61,1
emen i,0,35,35,1
en thin,0,33,33,1
eneration neura,0,114,114,1
enital baldnes,0,45,45,1
ennedy cente,0,63,63,1
ental breakdow,0,53,53,1
entlemen onl,0,37,37,1
eolis mon,0,34,34,1
eople agai,0,46,46,1
eople m,0,38,38,1
epicts th,0,43,43,1
eport claim,0,78,78,1
eports hav,0,47,47,1
equires childre,0,38,38,1
ere locate,0,36,36,1
eremy meek,0,34,34,1
erforming art,0,38,38,1
erives fro,0,34,34,1
ermaid foun,0,46,46,1
erman chocolat,0,60,60,1
ermuda triangl,0,54,54,1
errorism preparednes,0,35,35,1
erry gentleme,0,38,38,1
ersonality tes,0,70,70,1
erve hi,0,40,40,1
est ale,0,38,38,1
est driv,0,41,41,1
est y,0,40,40,1
esus performin,0,40,40,1
et pregnan,0,64,64,1
etty whit,0,80,80,1
etween europ,0,37,37,1
eural activatio,0,114,114,1
evocation o,0,45,45,1
ew bibl,0,42,42,1
ew plane,0,40,40,1
ewish ma,0,34,34,1
ews special,0,70,70,1
ews websit,0,73,73,1
ext nelso,0,77,77,1
f anarch,0,38,38,1
f fortun,0,47,47,1
f gre,0,54,54,1
f mic,0,59,59,1
f natura,0,52,52,1
f seme,0,34,34,1
f weasel,0,43,43,1
fc t,0,37,37,1
ff u,0,35,35,1
fficial pres,0,36,36,1
ffordable gol,0,38,38,1
fid chi,0,33,33,1
fter attackin,0,35,35,1
fter attemptin,0,60,60,1
fter havin,0,47,47,1
fter presiden,0,36,36,1
gbtq appreciatio,0,49,49,1
gents t,0,34,34,1
gg white,0,50,50,1
glala siou,0,74,74,1
gly childre,0,39,39,1
hanksgiving turkey,0,38,38,1
harles manso,0,123,123,1
hat claime,0,37,37,1
he affordabl,0,87,87,1
he bank,0,35,35,1
he bermud,0,33,33,1
he bogu,0,51,51,1
he cocacol,0,43,43,1
he drink,0,37,37,1
he million,0,42,42,1
he mpa,0,45,45,1
he oglal,0,68,68,1
he performin,0,35,35,1
he portion,0,40,40,1
he revocatio,0,35,35,1
he rumour,0,48,48,1
he satirica,0,58,58,1
he ticket,0,34,34,1
heaters illega,0,37,37,1
hef boyarde,0,42,42,1
herlock holme,0,49,49,1
hey pla,0,36,36,1
hey refuse,0,41,41,1
hildren grade,0,70,70,1
hina fo,0,34,34,1
hird breas,0,45,45,1
hird ter,0,90,90,1
hird vatica,0,86,86,1
his transactio,0,41,41,1
hite polic,0,43,43,1
ho flas,0,34,34,1
ho lac,0,36,36,1
hree anima,0,33,33,1
hrist i,0,33,33,1
hristie refuse,0,34,34,1
hristmas an,0,42,42,1
hristmas t,0,42,42,1
hurchill wa,0,34,34,1
hyllis dille,0,54,54,1
ichael kor,0,43,43,1
icket frenz,0,38,38,1
ideo document,0,42,42,1
iding an,0,37,37,1
ies t,0,34,34,1
ife httpwwwinfowarscomwpcontentuploadsbrainforceejp,0,114,114,1
ift car,0,140,140,1
ifteen patient,0,36,36,1
ifty shade,0,65,65,1
ight visio,0,38,38,1
ign ge,0,65,65,1
igned a,0,54,54,1
il wayn,0,62,62,1
ill murra,0,46,46,1
ill provid,0,42,42,1
ill smit,0,52,52,1
illiam hun,0,36,36,1
illing hi,0,33,33,1
ilming ,0,34,34,1
im henso,0,35,35,1
im jon,0,44,44,1
im porte,0,55,55,1
imit th,0,41,41,1
immerman win,0,45,45,1
inancial ai,0,37,37,1
ind brai,0,116,116,1
inds messag,0,36,36,1
infrey pregnan,0,34,34,1
inger patt,0,41,41,1
ink cros,0,38,38,1
ir tonigh,0,43,43,1
ireless bunge,0,43,43,1
irplane wit,0,47,47,1
irst geneticall,0,35,35,1
irst lin,0,40,40,1
irst wireles,0,34,34,1
is garag,0,33,33,1
is priso,0,35,35,1
isa lope,0,51,51,1
ishonorable discharg,0,34,34,1
isobedient wive,0,34,34,1
issing afte,0,59,59,1
issing malaysi,0,39,39,1
issouri pi,0,35,35,1
ist figh,0,37,37,1
istakenly fle,0,45,45,1
ite publishe,0,47,47,1
ith areth,0,36,36,1
ith assaul,0,36,36,1
ith firs,0,34,34,1
ith marijuan,0,40,40,1
izza toda,0,44,44,1
izzeria sa,0,40,40,1
jaculated i,0,39,39,1
kills o,0,38,38,1
labs th,0,36,36,1
lack hors,0,61,61,1
lack pilo,0,51,51,1
laimed toda,0,62,62,1
lake griffi,0,54,54,1
lanet covere,0,36,36,1
laska governo,0,70,70,1
lassified gan,0,33,33,1
late hi,0,37,37,1
ld dinosau,0,71,71,1
ldest tre,0,33,33,1
lease pres,0,39,39,1
lementary m,0,37,37,1
lephants wer,0,36,36,1
lew to,0,49,49,1
light 37,0,120,120,1
lip switc,0,114,114,1
ll beggin,0,38,38,1
ll registere,0,36,36,1
loomberg refuse,0,41,41,1
loomberg wa,0,77,77,1
lu vaccin,0,45,45,1
lub sod,0,38,38,1
lue waffl,0,47,47,1
m askin,0,42,42,1
mage fals,0,41,41,1
maginary frien,0,34,34,1
mall elephant,0,36,36,1
merican psychiatri,0,76,76,1
mericans shoul,0,51,51,1
mericans wit,0,105,105,1
minent domai,0,36,36,1
mith claim,0,35,35,1
mmediately banne,0,38,38,1
mpire new,0,89,89,1
n 66,0,38,38,1
n antarctic,0,64,64,1
n isi,0,42,42,1
n midai,0,35,35,1
n nickel,0,42,42,1
n tablet,0,34,34,1
n tampon,0,53,53,1
n ukrain,0,51,51,1
n unambiguou,0,38,38,1
n walmar,0,63,63,1
nambiguous messag,0,38,38,1
nauthorized hom,0,39,39,1
ncestors onc,0,44,44,1
nd abettin,0,35,35,1
nd german,0,40,40,1
nd robitussi,0,36,36,1
nfit fo,0,34,34,1
nfowars cre,0,70,70,1
nfowars lif,0,114,114,1
ngels caugh,0,49,49,1
nimal plane,0,37,37,1
njected wit,0,51,51,1
nly ladie,0,41,41,1
nnounces nationwid,0,57,57,1
nstant noodle,0,34,34,1
nterstate 6,0,38,38,1
ntil octobe,0,35,35,1
nyone an,0,42,42,1
o abilitie,0,104,104,1
o assur,0,33,33,1
o boar,0,73,73,1
o chin,0,91,91,1
o franc,0,34,34,1
o gol,0,44,44,1
o hawai,0,44,44,1
o jesu,0,46,46,1
o legaliz,0,47,47,1
o rewrit,0,33,33,1
oast bee,0,56,56,1
ob marle,0,59,59,1
obel committe,0,57,57,1
obert mugab,0,40,40,1
obin william,0,41,41,1
oby keit,0,46,46,1
ocated dee,0,36,36,1
octor sav,0,34,34,1
od res,0,40,40,1
od writte,0,38,38,1
oda sol,0,38,38,1
odified strai,0,34,34,1
oe montan,0,58,58,1
og mea,0,61,61,1
oing missin,0,39,39,1
olanda saldiva,0,52,52,1
olar eclips,0,43,43,1
olar panel,0,101,101,1
old plat,0,48,48,1
olden ticket,0,48,48,1
olf clu,0,36,36,1
oman give,0,51,51,1
ome theater,0,39,39,1
omeland terroris,0,37,37,1
on hede,0,40,40,1
oncert o,0,36,36,1
ondom challeng,0,59,59,1
ones infowar,0,70,70,1
ones youtub,0,38,38,1
onkey kon,0,50,50,1
onsanto cucumber,0,44,44,1
onstitution th,0,33,33,1
onstitutional right,0,38,38,1
ontained therei,0,33,33,1
ood a,0,76,76,1
ools onl,0,46,46,1
oom durin,0,36,36,1
oor neighborhood,0,45,45,1
ootball playe,0,40,40,1
op gues,0,34,34,1
or deb,0,35,35,1
or lgbt,0,44,44,1
orce fli,0,95,95,1
orce nex,0,114,114,1
ordan ,0,40,40,1
orman reedu,0,55,55,1
ormer alask,0,59,59,1
orothy blan,0,37,37,1
orry b,0,47,47,1
ositing tha,0,48,48,1
osted abou,0,37,37,1
ot indian,0,66,66,1
otel californi,0,59,59,1
otorcycle gan,0,46,46,1
otorcycle owner,0,50,50,1
otrin an,0,42,42,1
oug christi,0,38,38,1
ould limi,0,38,38,1
oulter refuse,0,96,96,1
ovemaking an,0,51,51,1
over ha,0,40,40,1
overnment openin,0,41,41,1
owl sunda,0,38,38,1
oy ejaculate,0,33,33,1
paa i,0,38,38,1
pecials ale,0,70,70,1
peeding ticket,0,33,33,1
pening fre,0,45,45,1
port quizze,0,34,34,1
ppreciation da,0,52,52,1
questrian statue,0,36,36,1
r ambitio,0,34,34,1
r kil,0,33,33,1
ra presiden,0,59,59,1
rad pit,0,85,85,1
rades k1,0,72,72,1
rain forc,0,209,209,1
ranklin a,0,39,39,1
ranted parol,0,38,38,1
ravis barke,0,48,48,1
re eithe,0,46,46,1
re laz,0,38,38,1
re payin,0,33,33,1
reaking ba,0,76,76,1
reaking daw,0,42,42,1
ree 10,0,37,37,1
ree ga,0,64,64,1
reen ba,0,49,49,1
regnant afte,0,89,89,1
reparedness bil,0,34,34,1
resident ji,0,54,54,1
retha frankli,0,107,107,1
rew relate,0,51,51,1
riends thi,0,36,36,1
rinking ag,0,101,101,1
rison cel,0,49,49,1
roceries i,0,37,37,1
rogram wil,0,37,37,1
rom liby,0,34,34,1
rom religio,0,38,38,1
rom spac,0,42,42,1
roposed sod,0,38,38,1
roposes ne,0,39,39,1
ross dres,0,46,46,1
ross publishin,0,38,38,1
rotest th,0,36,36,1
rticle positin,0,50,50,1
rtikel teile,0,52,52,1
rump fro,0,39,39,1
rump t,0,41,41,1
s fak,0,109,109,1
s ga,0,49,49,1
s pregnan,0,52,52,1
sking yo,0,48,48,1
slam rall,0,33,33,1
ssault o,0,40,40,1
ssaulting departmen,0,35,35,1
sychiatric associatio,0,76,76,1
t cha,0,34,34,1
t eatin,0,34,34,1
t mistakenl,0,41,41,1
tate min,0,116,116,1
tate trooper,0,43,43,1
tay o,0,42,42,1
tephen collin,0,68,68,1
teve irwi,0,38,38,1
teve urke,0,37,37,1
th heave,0,48,48,1
tone slab,0,36,36,1
train o,0,44,44,1
ts curiosit,0,36,36,1
ttacking areth,0,40,40,1
ttpwwwinfowarscomwpcontentuploadsbrainforceejpg httpwwwinfowarsstorecomhealthandwellnessinfowarslifebrainforcehtmlimstzrwuutm_campaigninfowarsplacementutm_sourceinfowarscomutm_mediumwidgetutm_contentbrainforc,0,114,114,1
ttpwwwinfowarsstorecomhealthandwellnessinfowarslifebrainforcehtmlimstzrwuutm_campaigninfowarsplacementutm_sourceinfowarscomutm_mediumwidgetutm_contentbrainforce brai,0,95,95,1
ttpwwwinfowarsstorecomhealthandwellnessinfowarslifebrainforcehtmlimstzrwuutm_campaigninfowarsplacementutm_sourceinfowarscomutm_mediumwidgetutm_contentbrainforce httpwwwinfowarsstorecomhealthandwellnessinfowarslifebrainforcehtmlimstzrwuutm_campaigninfowarsplacementutm_sourceinfowarscomutm_mediumwidgetutm_contentbrainforc,0,114,114,1
tudent i,0,37,37,1
uane marti,0,47,47,1
uarantined afte,0,36,36,1
ucumbers caus,0,43,43,1
ucy i,0,37,37,1
ueling banjo,0,45,45,1
ulie andrew,0,52,52,1
ulk hoga,0,35,35,1
ull hous,0,37,37,1
ullet gan,0,34,34,1
umors abou,0,43,43,1
umours ar,0,34,34,1
unded musli,0,34,34,1
ungee jum,0,38,38,1
uns energ,0,54,54,1
upercharge stat,0,114,114,1
ur gan,0,57,57,1
urrant politic,0,34,34,1
urrant th,0,40,40,1
usan lucc,0,77,77,1
ush accidentall,0,43,43,1
uslim outreac,0,102,102,1
uslim praye,0,41,41,1
ustin diamon,0,43,43,1
utreach progra,0,102,102,1
utty new,0,34,34,1
vian fl,0,34,34,1
vidence t,0,40,40,1
vril lavign,0,37,37,1
warded t,0,41,41,1
witch supercharg,0,114,114,1
wn colore,0,43,43,1
wn genital,0,33,33,1
wn hous,0,36,36,1
wned slave,0,50,50,1
wo gian,0,37,37,1
xclusive document,0,36,36,1
xl ros,0,56,56,1
y ancestor,0,44,44,1
y dea,0,57,57,1
ydrogen peroxid,0,45,45,1
alse origin,1,380,381,0.99737532808399
alse exampl,6,746,752,0.992021276595745
elson mandel,1,119,120,0.991666666666667
im hunte,1,108,109,0.990825688073395
ichael jorda,1,107,108,0.990740740740741
omi ki,1,97,98,0.989795918367347
ce bucke,1,96,97,0.989690721649485
issing fo,1,96,97,0.989690721649485
arijuana cigarette,1,94,95,0.989473684210526
eath hoa,3,282,285,0.989473684210526
ucket challeng,1,91,92,0.989130434782609
ichael vic,1,90,91,0.989010989010989
alaysia airline,2,178,180,0.988888888888889
ot dea,1,88,89,0.98876404494382
umors tha,1,86,87,0.988505747126437
ake stor,1,84,85,0.988235294117647
l chap,2,166,168,0.988095238095238
arlboro ,1,80,81,0.987654320987654
q o,1,80,81,0.987654320987654
ang initiate,1,78,79,0.987341772151899
k rowlin,1,78,79,0.987341772151899
he walkin,1,76,77,0.987012987012987
ot talen,1,75,76,0.986842105263158
et lates,1,74,75,0.986666666666667
 satirica,2,147,149,0.986577181208054
ingle bell,1,72,73,0.986301369863014
rance an,1,71,72,0.986111111111111
ohn clees,1,70,71,0.985915492957746
eorge zimmerma,4,276,280,0.985714285714286
eart transplan,1,67,68,0.985294117647059
n executiv,2,133,135,0.985185185185185
f marijuan,1,66,67,0.985074626865672
tatus fals,26,1715,1741,0.985066053991959
o heave,2,130,132,0.984848484848485
wners o,1,65,66,0.984848484848485
xistence o,1,65,66,0.984848484848485
ll religion,1,64,65,0.984615384615385
or revolutio,1,64,65,0.984615384615385
ussias go,1,63,64,0.984375
y fals,1,63,64,0.984375
hapo guzma,1,62,63,0.984126984126984
j simpso,1,62,63,0.984126984126984
rom priso,1,62,63,0.984126984126984
bama signe,1,61,62,0.983870967741936
ommunist rule,1,60,61,0.983606557377049
oreign studen,1,60,61,0.983606557377049
ade hel,1,59,60,0.983333333333333
hades o,1,59,60,0.983333333333333
ail numbe,1,58,59,0.983050847457627
ark zuckerber,1,58,59,0.983050847457627
s fals,5,286,291,0.982817869415807
he sun,1,57,58,0.982758620689655
ives birt,1,57,58,0.982758620689655
oo hig,1,57,58,0.982758620689655
oon landin,1,57,58,0.982758620689655
llegal t,1,56,57,0.982456140350877
oaquin e,1,56,57,0.982456140350877
he owner,1,55,56,0.982142857142857
ulius caesa,1,55,56,0.982142857142857
he fak,3,164,167,0.982035928143713
auryl sulfat,1,54,55,0.981818181818182
ct i,1,54,55,0.981818181818182
irst u,1,54,55,0.981818181818182
ill cosb,2,107,109,0.981651376146789
enny brow,1,53,54,0.981481481481481
eplaced b,1,53,54,0.981481481481481
esar milla,1,53,54,0.981481481481481
alking dea,2,105,107,0.981308411214953
arth hou,1,52,53,0.981132075471698
hilip morri,1,52,53,0.981132075471698
laim barac,1,52,53,0.981132075471698
nly goo,1,52,53,0.981132075471698
tore sant,1,52,53,0.981132075471698
he amityvill,1,51,52,0.980769230769231
he land,1,51,52,0.980769230769231
id roc,1,51,52,0.980769230769231
ig i,1,51,52,0.980769230769231
odium laury,1,51,52,0.980769230769231
eyton mannin,1,50,51,0.980392156862745
hile filmin,1,50,51,0.980392156862745
oard airplan,1,50,51,0.980392156862745
est hollywoo,1,49,50,0.98
yewitness accoun,1,49,50,0.98
 barac,1,48,49,0.979591836734694
alin sai,1,48,49,0.979591836734694
arry soetor,1,48,49,0.979591836734694
he spac,1,48,49,0.979591836734694
hopping da,1,48,49,0.979591836734694
lex jone,3,144,147,0.979591836734694
n revers,1,48,49,0.979591836734694
as ga,1,47,48,0.979166666666667
er ne,1,47,48,0.979166666666667
nvisible ar,1,47,48,0.979166666666667
 spoo,1,46,47,0.978723404255319
aving a,1,46,47,0.978723404255319
mityville horro,1,46,47,0.978723404255319
udd nelso,1,46,47,0.978723404255319
he hoa,2,91,93,0.978494623655914
agic drago,1,45,46,0.978260869565217
hurches i,1,45,46,0.978260869565217
n satanis,1,45,46,0.978260869565217
ommits suicid,1,45,46,0.978260869565217
ound livin,1,45,46,0.978260869565217
peeding ticke,1,45,46,0.978260869565217
ressure fro,1,45,46,0.978260869565217
tanford universit,1,45,46,0.978260869565217
uff th,1,45,46,0.978260869565217
uriosity rove,1,45,46,0.978260869565217
erlin museu,2,89,91,0.978021978021978
oday tha,4,177,181,0.977900552486188
 paten,1,44,45,0.977777777777778
5 billio,1,44,45,0.977777777777778
alse se,1,44,45,0.977777777777778
ank william,1,44,45,0.977777777777778
arilyn monro,5,220,225,0.977777777777778
atery i,1,44,45,0.977777777777778
f sod,1,44,45,0.977777777777778
niversity studen,1,44,45,0.977777777777778
o bab,1,44,45,0.977777777777778
ental disorde,2,87,89,0.97752808988764
 menta,3,129,132,0.977272727272727
anks t,1,43,44,0.977272727272727
arth o,1,43,44,0.977272727272727
ge i,1,43,44,0.977272727272727
ocial stat,1,43,44,0.977272727272727
onfederate fla,1,43,44,0.977272727272727
ook elementar,1,43,44,0.977272727272727
or assaultin,1,43,44,0.977272727272727
our tw,1,43,44,0.977272727272727
talian eater,1,43,44,0.977272727272727
 10,3,128,131,0.977099236641221
he condo,1,42,43,0.976744186046512
iss lub,1,42,43,0.976744186046512
izza a,1,42,43,0.976744186046512
nly tw,1,42,43,0.976744186046512
ook abou,1,42,43,0.976744186046512
rand marijuan,1,42,43,0.976744186046512
tudy b,1,42,43,0.976744186046512
ube rac,1,42,43,0.976744186046512
verage i,1,42,43,0.976744186046512
avorite ,1,41,42,0.976190476190476
he onio,3,123,126,0.976190476190476
ne piec,1,41,42,0.976190476190476
owerball jackpo,1,41,42,0.976190476190476
shley olse,1,41,42,0.976190476190476
wayne johnso,1,41,42,0.976190476190476
yber monda,1,41,42,0.976190476190476
 danc,1,40,41,0.975609756097561
as endorse,1,40,41,0.975609756097561
as replace,1,40,41,0.975609756097561
c a,1,40,41,0.975609756097561
he becam,1,40,41,0.975609756097561
he faceboo,2,80,82,0.975609756097561
heating husban,1,40,41,0.975609756097561
hrist celebrate,1,40,41,0.975609756097561
ix toe,1,40,41,0.975609756097561
nd hillar,1,40,41,0.975609756097561
o vietna,1,40,41,0.975609756097561
oo importan,1,40,41,0.975609756097561
pider egg,1,40,41,0.975609756097561
rnest hemingwa,1,40,41,0.975609756097561
rooklyn th,1,40,41,0.975609756097561
ules fo,3,120,123,0.975609756097561
urricane iren,1,40,41,0.975609756097561
hanksgiving i,2,79,81,0.975308641975309
heck wa,2,79,81,0.975308641975309
oax th,3,118,121,0.975206611570248
act ad,1,39,40,0.975
atest breakin,2,78,80,0.975
een arreste,1,39,40,0.975
egister o,1,39,40,0.975
eople int,1,39,40,0.975
ingo star,1,39,40,0.975
nd declare,1,39,40,0.975
oman arreste,1,39,40,0.975
oretto chape,1,39,40,0.975
xis o,2,78,80,0.975
gg hatche,2,77,79,0.974683544303798
 hai,1,38,39,0.974358974358974
ang initiatio,1,38,39,0.974358974358974
avid rockefelle,1,38,39,0.974358974358974
ene simmon,1,38,39,0.974358974358974
ew bil,1,38,39,0.974358974358974
han hav,1,38,39,0.974358974358974
hat jesu,2,76,78,0.974358974358974
he czec,1,38,39,0.974358974358974
he existenc,1,38,39,0.974358974358974
he singer,1,38,39,0.974358974358974
hursday octobe,1,38,39,0.974358974358974
iece t,1,38,39,0.974358974358974
ime alon,1,38,39,0.974358974358974
ion kin,1,38,39,0.974358974358974
nd batter,1,38,39,0.974358974358974
s lobbyin,1,38,39,0.974358974358974
y sara,1,38,39,0.974358974358974
 fak,10,375,385,0.974025974025974
outh par,2,75,77,0.974025974025974
ages i,1,37,38,0.973684210526316
d sulliva,1,37,38,0.973684210526316
eaders thin,1,37,38,0.973684210526316
eat fro,1,37,38,0.973684210526316
f sata,1,37,38,0.973684210526316
he stripe,1,37,38,0.973684210526316
he wh,1,37,38,0.973684210526316
his littl,1,37,38,0.973684210526316
ick jagge,1,37,38,0.973684210526316
lone an,1,37,38,0.973684210526316
lorida stat,1,37,38,0.973684210526316
nnounced plan,2,74,76,0.973684210526316
orlds firs,1,37,38,0.973684210526316
rown christma,1,37,38,0.973684210526316
ruth ,1,37,38,0.973684210526316
sk alic,1,37,38,0.973684210526316
elebrated easte,2,73,75,0.973333333333333
hildren t,4,146,150,0.973333333333333
lying i,2,73,75,0.973333333333333
old wate,2,73,75,0.973333333333333
regnant wit,2,73,75,0.973333333333333
asa ha,1,36,37,0.972972972972973
ells i,1,36,37,0.972972972972973
he maske,1,36,37,0.972972972972973
he obama,1,36,37,0.972972972972973
iant ston,1,36,37,0.972972972972973
illiams j,1,36,37,0.972972972972973
laims go,1,36,37,0.972972972972973
light 1,1,36,37,0.972972972972973
lothing lin,1,36,37,0.972972972972973
o popula,1,36,37,0.972972972972973
ood safet,1,36,37,0.972972972972973
orse i,1,36,37,0.972972972972973
rancisco c,1,36,37,0.972972972972973
reat agai,1,36,37,0.972972972972973
s expecte,1,36,37,0.972972972972973
mericans no,2,71,73,0.972602739726027
lice o,3,106,109,0.972477064220184
00 gif,1,35,36,0.972222222222222
2 fe,1,35,36,0.972222222222222
e fals,1,35,36,0.972222222222222
ecurity benefit,1,35,36,0.972222222222222
een grante,1,35,36,0.972222222222222
ery health,1,35,36,0.972222222222222
he fukushim,1,35,36,0.972222222222222
he institut,1,35,36,0.972222222222222
he piec,1,35,36,0.972222222222222
inosaur eg,3,105,108,0.972222222222222
ll president,1,35,36,0.972222222222222
lu sho,1,35,36,0.972222222222222
n fas,1,35,36,0.972222222222222
now pleas,1,35,36,0.972222222222222
now wit,1,35,36,0.972222222222222
ollow d,1,35,36,0.972222222222222
ong u,1,35,36,0.972222222222222
rive acros,1,35,36,0.972222222222222
ump handle,1,35,36,0.972222222222222
ust wen,1,35,36,0.972222222222222
y mean,1,35,36,0.972222222222222
overnment shutdow,3,104,107,0.97196261682243
hocolate cak,2,69,71,0.971830985915493
eport tha,3,103,106,0.971698113207547
f pizz,3,103,106,0.971698113207547
ablets i,1,34,35,0.971428571428571
alse bu,1,34,35,0.971428571428571
ccount i,1,34,35,0.971428571428571
ealthy t,1,34,35,0.971428571428571
gain thi,1,34,35,0.971428571428571
heck ar,1,34,35,0.971428571428571
hillip morri,1,34,35,0.971428571428571
ia 1,1,34,35,0.971428571428571
oman say,1,34,35,0.971428571428571
ompletely fals,1,34,35,0.971428571428571
ord chicke,1,34,35,0.971428571428571
ther version,1,34,35,0.971428571428571
udrey hepbur,1,34,35,0.971428571428571
uman finge,1,34,35,0.971428571428571
unning ,1,34,35,0.971428571428571
andy hoo,4,135,139,0.971223021582734
dministration announce,2,67,69,0.971014492753623
ecently discovere,2,67,69,0.971014492753623
iger wood,3,100,103,0.970873786407767
aws o,1,33,34,0.970588235294118
aya angelo,1,33,34,0.970588235294118
eyond measur,1,33,34,0.970588235294118
he headlin,2,66,68,0.970588235294118
he ticke,1,33,34,0.970588235294118
ike wildfir,1,33,34,0.970588235294118
iller whal,1,33,34,0.970588235294118
im horton,2,66,68,0.970588235294118
ir freshene,1,33,34,0.970588235294118
ommercial airlin,1,33,34,0.970588235294118
oncerning th,1,33,34,0.970588235294118
ppears tha,1,33,34,0.970588235294118
rom enterin,1,33,34,0.970588235294118
roved tha,1,33,34,0.970588235294118
roven t,1,33,34,0.970588235294118
t sand,1,33,34,0.970588235294118
eight los,2,65,67,0.970149253731343
n poo,2,65,67,0.970149253731343
s aliv,2,65,67,0.970149253731343
 pitbul,1,32,33,0.96969696969697
ady gag,2,64,66,0.96969696969697
ares abou,1,32,33,0.96969696969697
atched i,1,32,33,0.96969696969697
awn star,1,32,33,0.96969696969697
cientists hav,1,32,33,0.96969696969697
eepest fea,2,64,66,0.96969696969697
emingway onc,1,32,33,0.96969696969697
estaurant wa,1,32,33,0.96969696969697
he captio,1,32,33,0.96969696969697
hina ,1,32,33,0.96969696969697
ith bloo,1,32,33,0.96969696969697
lasses o,1,32,33,0.96969696969697
leansing th,1,32,33,0.96969696969697
mish mafi,2,64,66,0.96969696969697
mplement shari,1,32,33,0.96969696969697
n atheis,1,32,33,0.96969696969697
n mt,1,32,33,0.96969696969697
n wes,2,64,66,0.96969696969697
nergy drin,2,64,66,0.96969696969697
ohn edward,1,32,33,0.96969696969697
ord joaqui,1,32,33,0.96969696969697
owerful beyon,1,32,33,0.96969696969697
re inadequat,1,32,33,0.96969696969697
ustin biebe,8,255,263,0.96958174904943
heck doe,5,159,164,0.969512195121951
he ebol,3,95,98,0.969387755102041
riginated fro,2,63,65,0.969230769230769
ello kitt,2,61,63,0.968253968253968
ucky strik,2,61,63,0.968253968253968
zech republi,2,61,63,0.968253968253968
00 millio,5,152,157,0.968152866242038
omeless ma,4,121,125,0.968
